Rank	Word	Count	Frequency
1	the	9407	0.048577
2	of	6636	0.034268
3	to	6276	0.032409
4	and	6121	0.031609
5	i	4941	0.025515
6	a	4550	0.023496
7	my	3703	0.019122
8	in	3570	0.018435
9	he	2850	0.014717
10	with	2738	0.014139
11	his	2682	0.013850
12	was	2607	0.013462
13	that	2511	0.012967
14	me	2110	0.010896
15	had	1779	0.009187
16	for	1775	0.009166
17	which	1620	0.008366
18	at	1554	0.008025
19	by	1458	0.007529
20	this	1453	0.007503
21	as	1337	0.006904
22	him	1301	0.006718
23	her	1288	0.006651
24	not	1286	0.006641
25	who	1089	0.005624
26	be	1007	0.005200
27	it	995	0.005138
28	on	948	0.004895
29	you	911	0.004704
30	but	911	0.004704
31	we	753	0.003888
32	she	750	0.003873
33	so	731	0.003775
34	an	730	0.003770
35	have	715	0.003692
36	no	708	0.003656
37	would	695	0.003589
38	from	693	0.003579
39	upon	665	0.003434
40	all	661	0.003413
41	when	589	0.003042
42	could	577	0.002980
43	our	548	0.002830
44	were	514	0.002654
45	is	482	0.002489
46	or	475	0.002453
47	than	467	0.002412
48	very	449	0.002319
49	one	439	0.002267
50	some	438	0.002262
51	time	434	0.002241
52	being	430	0.002221
53	into	427	0.002205
54	should	426	0.002200
55	if	408	0.002107
56	great	406	0.002097
57	much	399	0.002060
58	been	393	0.002029
59	up	383	0.001978
60	such	382	0.001973
61	having	374	0.001931
62	myself	365	0.001885
63	more	364	0.001880
64	where	360	0.001859
65	out	360	0.001859
66	us	345	0.001782
67	after	336	0.001735
68	your	333	0.001720
69	before	328	0.001694
70	made	322	0.001663
71	good	319	0.001647
72	without	317	0.001637
73	said	316	0.001632
74	what	315	0.001627
75	other	313	0.001616
76	their	312	0.001611
77	own	308	0.001590
78	any	301	0.001554
79	did	283	0.001461
80	they	282	0.001456
81	mr	272	0.001405
82	them	268	0.001384
83	well	265	0.001368
84	whom	259	0.001337
85	while	257	0.001327
86	himself	253	0.001306
87	are	246	0.001270
88	might	246	0.001270
89	told	242	0.001250
90	about	236	0.001219
91	found	229	0.001183
92	will	223	0.001152
93	day	221	0.001141
94	then	220	0.001136
95	man	215	0.001110
96	went	210	0.001084
97	there	209	0.001079
98	know	209	0.001079
99	same	201	0.001038
100	captain	200	0.001033
101	these	188	0.000971
102	put	188	0.000971
103	strap	185	0.000955
104	little	182	0.000940
105	am	175	0.000904
106	two	174	0.000899
107	must	172	0.000888
108	make	172	0.000888
109	took	170	0.000878
110	old	166	0.000857
111	immediately	166	0.000857
112	another	166	0.000857
113	friend	165	0.000852
114	against	164	0.000847
115	do	164	0.000847
116	fortune	164	0.000847
117	company	162	0.000837
