Rank	Word	Count	Frequency
1	the	2278	0.057463
2	to	1349	0.034029
3	of	1175	0.029640
4	and	913	0.023031
5	i	683	0.017229
6	a	589	0.014858
7	in	523	0.013193
8	he	515	0.012991
9	his	489	0.012335
10	my	464	0.011704
11	not	451	0.011377
12	that	426	0.010746
13	her	412	0.010393
14	said	392	0.009888
15	is	378	0.009535
16	was	369	0.009308
17	it	354	0.008930
18	with	336	0.008476
19	you	329	0.008299
20	for	318	0.008022
21	this	286	0.007214
22	she	285	0.007189
23	but	284	0.007164
24	me	282	0.007113
25	manfred	276	0.006962
26	had	261	0.006584
27	on	229	0.005777
28	be	219	0.005524
29	your	219	0.005524
30	from	218	0.005499
31	by	208	0.005247
32	have	207	0.005222
33	as	203	0.005121
34	him	202	0.005095
35	at	197	0.004969
36	thou	189	0.004768
37	isabella	177	0.004465
38	what	174	0.004389
39	will	165	0.004162
40	matilda	159	0.004011
41	no	152	0.003834
42	if	147	0.003708
43	thy	142	0.003582
44	who	140	0.003532
45	lord	139	0.003506
46	or	130	0.003279
47	which	129	0.003254
48	theodore	127	0.003204
49	would	114	0.002876
50	hippolita	114	0.002876
51	are	107	0.002699
52	princess	102	0.002573
53	has	100	0.002523
54	can	99	0.002497
55	all	96	0.002422
56	father	90	0.002270
57	am	90	0.002270
58	do	90	0.002270
59	prince	90	0.002270
60	so	89	0.002245
61	project	88	0.002220
62	thee	88	0.002220
63	castle	87	0.002195
64	an	84	0.002119
65	were	84	0.002119
66	cried	84	0.002119
67	they	83	0.002094
68	we	81	0.002043
69	young	77	0.001942
70	know	76	0.001917
71	any	74	0.001867
72	lady	74	0.001867
73	could	73	0.001841
74	more	72	0.001816
75	heaven	72	0.001816
76	when	71	0.001791
77	than	71	0.001791
78	been	71	0.001791
79	their	71	0.001791
80	himself	69	0.001741
81	man	69	0.001741
82	must	69	0.001741
83	shall	69	0.001741
84	should	63	0.001589
85	bianca	63	0.001589
86	jerome	63	0.001589
87	some	61	0.001539
88	how	61	0.001539
89	frederic	61	0.001539
90	into	60	0.001514
91	heard	59	0.001488
92	work	58	0.001463
93	may	56	0.001413
94	gutenberg™	56	0.001413
95	one	55	0.001387
96	these	55	0.001387
97	too	54	0.001362
98	there	53	0.001337
99	own	53	0.001337
100	where	52	0.001312
101	other	51	0.001286
102	son	50	0.001261
103	them	49	0.001236
104	replied	49	0.001236
105	good	48	0.001211
106	us	48	0.001211
107	art	48	0.001211
108	chamber	48	0.001211
109	never	45	0.001135
110	oh	45	0.001135
111	yet	44	0.001110
112	now	44	0.001110
113	knight	44	0.001110
114	highness	43	0.001085
115	made	42	0.001059
116	without	42	0.001059
117	our	42	0.001059
118	youth	42	0.001059
119	friar	42	0.001059
120	before	41	0.001034
121	though	41	0.001034
122	did	41	0.001034
123	come	41	0.001034
124	then	40	0.001009
125	holy	38	0.000959
126	life	37	0.000933
127	its	37	0.000933
128	words	37	0.000933
129	first	36	0.000908
130	manfreds	36	0.000908
131	whom	36	0.000908
132	let	36	0.000908
133	tell	36	0.000908
134	soul	36	0.000908
135	thought	35	0.000883
136	door	35	0.000883
137	madam	35	0.000883
138	little	34	0.000858
139	mother	34	0.000858
140	most	33	0.000832
141	under	33	0.000832
142	return	33	0.000832
143	ever	33	0.000832
144	marquis	33	0.000832
145	nor	33	0.000832
146	against	33	0.000832
147	heart	33	0.000832
148	great	32	0.000807
149	child	32	0.000807
150	speak	32	0.000807
151	out	32	0.000807
152	works	32	0.000807
153	gutenberg	31	0.000782
154	think	31	0.000782
155	up	31	0.000782
156	much	31	0.000782
157	soon	31	0.000782
158	came	31	0.000782
159	stranger	31	0.000782
160	until	30	0.000757
161	found	30	0.000757
162	every	30	0.000757
163	peasant	30	0.000757
164	herself	30	0.000757
165	might	29	0.000732
166	time	29	0.000732
167	such	29	0.000732
168	church	29	0.000732
169	foundation	29	0.000732
170	daughter	29	0.000732
171	otranto	28	0.000706
172	last	28	0.000706
173	well	28	0.000706
174	eyes	28	0.000706
175	cause	28	0.000706
176	hast	28	0.000706
177	give	27	0.000681
178	terms	27	0.000681
179	hand	27	0.000681
180	make	27	0.000681
181	those	27	0.000681
182	death	27	0.000681
183	electronic	27	0.000681
184	saw	26	0.000656
185	even	26	0.000656
186	still	26	0.000656
187	alfonso	26	0.000656
188	only	25	0.000631
189	does	25	0.000631
190	here	25	0.000631
191	about	25	0.000631
192	see	25	0.000631
193	blood	25	0.000631
194	love	25	0.000631
195	mind	24	0.000605
196	take	24	0.000605
197	while	24	0.000605
198	hear	24	0.000605
199	nothing	23	0.000580
200	go	23	0.000580
201	told	23	0.000580
202	why	23	0.000580
203	say	22	0.000555
204	hour	22	0.000555
205	less	22	0.000555
206	whose	22	0.000555
207	knew	22	0.000555
208	person	22	0.000555
209	being	21	0.000530
210	myself	21	0.000530
211	both	21	0.000530
212	dare	21	0.000530
213	court	21	0.000530
214	helmet	21	0.000530
215	seemed	21	0.000530
216	rest	21	0.000530
217	dear	21	0.000530
218	alas	21	0.000530
219	flight	21	0.000530
220	convent	21	0.000530
221	passion	21	0.000530
222	use	20	0.000505
223	states	20	0.000505
224	long	20	0.000505
225	way	20	0.000505
226	very	20	0.000505
227	apartment	20	0.000505
228	sure	20	0.000505
229	gallery	20	0.000505
230	yes	20	0.000505
231	new	19	0.000479
232	few	19	0.000479
233	left	19	0.000479
234	thus	19	0.000479
235	domestics	19	0.000479
236	doubt	19	0.000479
237	princes	19	0.000479
238	ye	19	0.000479
239	tears	19	0.000479
240	voice	19	0.000479
241	isabellas	19	0.000479
242	copyright	19	0.000479
243	two	18	0.000454
244	set	18	0.000454
245	story	18	0.000454
246	st	18	0.000454
247	towards	18	0.000454
248	continued	18	0.000454
249	vain	18	0.000454
250	going	18	0.000454
251	since	18	0.000454
252	dost	18	0.000454
253	secret	18	0.000454
254	diego	18	0.000454
255	agreement	18	0.000454
256	license	17	0.000429
257	fathers	17	0.000429
258	like	17	0.000429
259	many	17	0.000429
260	upon	17	0.000429
261	between	17	0.000429
262	down	17	0.000429
263	purpose	17	0.000429
264	find	17	0.000429
265	hope	17	0.000429
266	fate	17	0.000429
267	after	17	0.000429
268	servants	17	0.000429
269	unhappy	17	0.000429
270	seen	17	0.000429
271	over	17	0.000429
272	full	17	0.000429
273	escape	17	0.000429
274	through	17	0.000429
275	ask	17	0.000429
276	gone	17	0.000429
277	forth	17	0.000429
278	united	16	0.000404
279	received	16	0.000404
280	having	16	0.000404
281	part	16	0.000404
282	believe	16	0.000404
283	brought	16	0.000404
284	marriage	16	0.000404
285	seeing	16	0.000404
286	true	16	0.000404
287	knights	16	0.000404
288	almost	15	0.000378
289	away	15	0.000378
290	sir	15	0.000378
291	state	15	0.000378
292	conrad	15	0.000378
293	attendants	15	0.000378
294	noise	15	0.000378
295	tenderness	15	0.000378
296	place	15	0.000378
297	within	15	0.000378
298	leave	15	0.000378
299	hippolitas	15	0.000378
300	virtuous	15	0.000378
301	woman	15	0.000378
302	divorce	15	0.000378
303	night	15	0.000378
304	open	15	0.000378
305	means	15	0.000378
306	jaquez	15	0.000378
307	pray	15	0.000378
308	mean	15	0.000378
309	donations	15	0.000378
310	world	14	0.000353
311	laws	14	0.000353
312	power	14	0.000353
313	end	14	0.000353
314	put	14	0.000353
315	friend	14	0.000353
316	however	14	0.000353
317	terror	14	0.000353
318	perhaps	14	0.000353
319	whether	14	0.000353
320	truth	14	0.000353
321	given	14	0.000353
322	indeed	14	0.000353
323	same	14	0.000353
324	duty	14	0.000353
325	discovered	14	0.000353
326	again	14	0.000353
327	acquainted	14	0.000353
328	interrupted	14	0.000353
329	peace	14	0.000353
330	poor	14	0.000353
331	ebook	13	0.000328
332	died	13	0.000328
333	years	13	0.000328
334	passed	13	0.000328
335	house	13	0.000328
336	armour	13	0.000328
337	nicholas	13	0.000328
338	better	13	0.000328
339	meet	13	0.000328
340	far	13	0.000328
341	taken	13	0.000328
342	right	13	0.000328
343	gracious	13	0.000328
344	affection	13	0.000328
345	wife	13	0.000328
346	question	13	0.000328
347	back	13	0.000328
348	grief	13	0.000328
349	fatal	13	0.000328
350	dead	13	0.000328
351	thoughts	13	0.000328
352	wretched	13	0.000328
353	news	13	0.000328
354	prevent	13	0.000328
355	demanded	13	0.000328
356	steps	13	0.000328
357	didst	13	0.000328
358	highnesss	13	0.000328
359	consent	13	0.000328
360	endeavoured	13	0.000328
361	each	13	0.000328
362	sirs	13	0.000328
363	trademark	13	0.000328
364	literary	13	0.000328
365	archive	13	0.000328
366	copy	12	0.000303
367	author	12	0.000303
368	company	12	0.000303
369	three	12	0.000303
370	remained	12	0.000303
371	felt	12	0.000303
372	morning	12	0.000303
373	head	12	0.000303
374	latter	12	0.000303
375	situation	12	0.000303
376	pity	12	0.000303
377	wish	12	0.000303
378	delivered	12	0.000303
379	answer	12	0.000303
380	above	12	0.000303
381	took	12	0.000303
382	wished	12	0.000303
383	help	12	0.000303
384	ordered	12	0.000303
385	retired	12	0.000303
