Rank	Word	Count	Frequency
1	the	15023	0.056067
2	of	8255	0.030808
3	and	7212	0.026916
4	a	6516	0.024318
5	to	5031	0.018776
6	in	4974	0.018563
7	he	3998	0.014921
8	his	3326	0.012413
9	that	2586	0.009651
10	with	2557	0.009543
11	i	2553	0.009528
12	it	2351	0.008774
13	was	2127	0.007938
14	on	2118	0.007905
15	for	1951	0.007281
16	you	1919	0.007162
17	her	1783	0.006654
18	him	1522	0.005680
19	is	1431	0.005341
20	all	1328	0.004956
21	at	1299	0.004848
22	by	1288	0.004807
23	said	1207	0.004505
24	as	1188	0.004434
25	she	1130	0.004217
26	from	1100	0.004105
27	or	1030	0.003844
28	they	1004	0.003747
29	me	940	0.003508
30	not	931	0.003475
31	bloom	930	0.003471
32	out	898	0.003351
33	be	895	0.003340
34	what	834	0.003113
35	up	829	0.003094
36	my	828	0.003090
37	had	814	0.003038
38	like	728	0.002717
39	their	719	0.002683
40	mr	708	0.002642
41	one	699	0.002609
42	have	693	0.002586
43	there	685	0.002556
44	but	677	0.002527
45	them	671	0.002504
46	an	659	0.002459
47	no	625	0.002333
48	so	612	0.002284
49	then	573	0.002138
50	if	555	0.002071
51	when	549	0.002049
52	about	540	0.002015
53	are	538	0.002008
54	were	523	0.001952
55	which	521	0.001944
56	stephen	504	0.001881
57	your	492	0.001836
58	old	490	0.001829
59	this	485	0.001810
60	says	473	0.001765
61	who	458	0.001709
62	down	449	0.001676
63	over	443	0.001653
64	its	442	0.001650
65	too	442	0.001650
66	now	436	0.001627
67	do	432	0.001612
68	see	429	0.001601
69	after	420	0.001567
70	we	413	0.001541
71	man	412	0.001538
72	did	390	0.001456
73	two	383	0.001429
74	would	382	0.001426
75	time	376	0.001403
76	off	366	0.001366
77	back	360	0.001344
78	will	347	0.001295
79	into	330	0.001232
80	other	329	0.001228
81	eyes	329	0.001228
82	know	327	0.001220
83	more	315	0.001176
84	those	313	0.001168
85	o	312	0.001164
86	some	311	0.001161
87	could	310	0.001157
88	hand	305	0.001138
89	good	302	0.001127
90	where	301	0.001123
91	street	293	0.001094
92	little	290	0.001082
93	has	289	0.001079
94	our	287	0.001071
95	yes	283	0.001056
96	way	278	0.001038
97	father	277	0.001034
98	first	275	0.001026
99	here	272	0.001015
100	us	261	0.000974
101	say	261	0.000974
102	well	257	0.000959
103	get	256	0.000955
104	how	254	0.000948
105	only	253	0.000944
106	through	249	0.000929
107	day	247	0.000922
108	never	247	0.000922
109	come	246	0.000918
110	again	244	0.000911
111	just	242	0.000903
112	round	239	0.000892
113	long	236	0.000881
114	right	236	0.000881
115	face	235	0.000877
116	must	231	0.000862
117	night	231	0.000862
118	under	230	0.000858
119	can	229	0.000855
120	any	228	0.000851
121	go	227	0.000847
122	head	222	0.000829
123	before	221	0.000825
124	himself	221	0.000825
125	sir	219	0.000817
126	name	218	0.000814
127	very	218	0.000814
128	because	215	0.000802
129	god	209	0.000780
130	put	209	0.000780
131	dont	207	0.000773
132	been	205	0.000765
133	j	204	0.000761
134	mrs	201	0.000750
135	thing	199	0.000743
136	going	198	0.000739
137	came	197	0.000735
138	life	196	0.000731
139	let	194	0.000724
140	john	194	0.000724
141	young	192	0.000717
142	still	191	0.000713
143	look	190	0.000709
144	asked	187	0.000698
145	woman	186	0.000694
146	last	183	0.000683
147	poor	183	0.000683
148	made	182	0.000679
149	went	182	0.000679
150	im	182	0.000679
151	away	181	0.000676
152	got	181	0.000676
153	hes	179	0.000668
154	why	178	0.000664
155	voice	177	0.000661
156	something	177	0.000661
157	make	176	0.000657
158	might	176	0.000657
159	always	174	0.000649
160	being	174	0.000649
161	than	172	0.000642
162	dedalus	171	0.000638
163	house	171	0.000638
164	though	171	0.000638
165	three	169	0.000631
166	tell	168	0.000627
167	same	167	0.000623
168	hat	167	0.000623
169	course	167	0.000623
170	thats	166	0.000620
171	give	165	0.000616
172	much	165	0.000616
173	left	165	0.000616
174	white	163	0.000608
175	ill	163	0.000608
176	ever	161	0.000601
177	am	160	0.000597
178	saw	160	0.000597
179	love	157	0.000586
180	new	156	0.000582
181	hands	156	0.000582
182	most	154	0.000575
183	own	154	0.000575
184	world	152	0.000567
185	mulligan	150	0.000560
186	want	149	0.000556
187	lord	148	0.000552
188	behind	146	0.000545
189	black	146	0.000545
190	without	145	0.000541
191	told	144	0.000537
192	think	143	0.000534
193	every	141	0.000526
194	took	141	0.000526
195	bit	141	0.000526
196	door	139	0.000519
197	men	138	0.000515
198	take	138	0.000515
199	joe	137	0.000511
200	fellow	136	0.000508
201	high	135	0.000504
202	such	135	0.000504
203	—i	134	0.000500
204	turned	134	0.000500
205	till	134	0.000500
206	place	134	0.000500
207	miss	134	0.000500
208	between	133	0.000496
209	upon	132	0.000493
210	years	132	0.000493
211	wife	132	0.000493
212	better	130	0.000485
213	against	129	0.000481
214	hear	128	0.000478
215	s	128	0.000478
216	dark	127	0.000474
217	best	127	0.000474
218	great	127	0.000474
219	heard	127	0.000474
220	once	127	0.000474
221	even	126	0.000470
222	mouth	124	0.000463
223	gave	123	0.000459
224	heart	123	0.000459
225	another	123	0.000459
226	while	123	0.000459
227	hair	122	0.000455
228	dead	122	0.000455
229	coming	122	0.000455
230	big	122	0.000455
231	water	121	0.000452
232	towards	120	0.000448
233	mother	120	0.000448
234	read	120	0.000448
235	eye	119	0.000444
236	morning	117	0.000437
237	half	117	0.000437
238	thought	117	0.000437
239	dublin	116	0.000433
240	having	116	0.000433
241	words	116	0.000433
242	along	116	0.000433
243	home	116	0.000433
244	air	115	0.000429
245	irish	115	0.000429
246	word	115	0.000429
247	near	115	0.000429
248	buck	114	0.000425
249	looking	114	0.000425
250	suppose	114	0.000425
251	light	113	0.000422
252	didnt	113	0.000422
253	full	113	0.000422
254	red	113	0.000422
255	wait	111	0.000414
256	things	111	0.000414
257	looked	110	0.000411
258	call	110	0.000411
259	son	110	0.000411
260	money	108	0.000403
261	open	108	0.000403
262	knew	107	0.000399
263	may	106	0.000396
264	kind	106	0.000396
265	work	106	0.000396
266	both	105	0.000392
267	women	105	0.000392
268	second	105	0.000392
269	martin	105	0.000392
270	does	104	0.000388
271	bed	104	0.000388
272	side	104	0.000388
273	feel	104	0.000388
274	these	103	0.000384
275	bloody	103	0.000384
276	sea	103	0.000384
277	far	103	0.000384
278	zoe	103	0.000384
279	lenehan	102	0.000381
280	past	101	0.000377
281	green	98	0.000366
282	theres	98	0.000366
283	nothing	98	0.000366
284	wouldnt	98	0.000366
285	—the	97	0.000362
286	passed	97	0.000362
287	sure	97	0.000362
288	citizen	97	0.000362
289	each	96	0.000358
290	wonder	96	0.000358
291	project	94	0.000351
292	gold	92	0.000343
293	four	92	0.000343
294	watch	92	0.000343
295	arms	91	0.000340
296	five	91	0.000340
297	days	91	0.000340
298	corner	89	0.000332
299	stood	89	0.000332
300	anything	89	0.000332
301	also	89	0.000332
302	lost	89	0.000332
303	paper	89	0.000332
304	called	88	0.000328
305	lips	88	0.000328
306	gentleman	88	0.000328
307	girl	88	0.000328
308	power	88	0.000328
309	bad	88	0.000328
310	gone	87	0.000325
311	moment	86	0.000321
312	book	85	0.000317
313	times	84	0.000313
314	land	83	0.000310
315	should	83	0.000310
316	c	83	0.000310
317	dear	83	0.000310
318	yet	82	0.000306
319	death	82	0.000306
320	brought	82	0.000306
321	feet	82	0.000306
322	case	82	0.000306
323	mind	82	0.000306
324	blue	82	0.000306
325	cried	81	0.000302
326	cant	81	0.000302
327	p	81	0.000302
328	ireland	81	0.000302
329	done	81	0.000302
330	many	81	0.000302
